,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
0,的,,1.0,1,de," dí, dì","possessive, adjectival suffix",的," [de] &LT;grammatical particle marking genitive as well as simple and composed adjectives&GT;; 我的 wǒde my; 高的 gāode high, tall; 是的 shìde that's it, that's right; 是...的 shì...de one who...; 他是说汉语的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.<BR>[dì] 目的 mùdì goal<BR>[dí] true, real; 的确 díquè certainl<BR><BR>rank = 1
","我的; 高的; 是的; 是…的……; 他是说汉语的; 目的, 的确","我<span class=examplehanzi>的</span>; 高<span class=examplehanzi>的</span>; 是<span class=examplehanzi>的</span>; 是…<span class=examplehanzi>的</span>……; 他是说汉语<span class=examplehanzi>的</span>; 目<span class=examplehanzi>的</span>, <span class=examplehanzi>的</span>确"
1,一,,1.0,2,yī,,"one; a, an; alone",一," [yī] one, a little; 第一 dì-yī first, primary; 看一看 kànyīkàn have a (quick) look at<BR>[yí] (used before tone #4); 一个人 yí gè rén one person; 一定 yídìng certain; 一样 yíyàng same; 一月yíyuè January<BR>[yì] (used before tones #2 and #3); 一点儿 yìdiǎnr a little; 一些 yìxiē some<BR>{Compare with 幺(F么) yāo, which also means 'one'<BR><BR>rank = 2
",第一; 看一看; 一个人; 一定; 一样; 一月; 一点儿; 一些,第<span class=examplehanzi>一</span>; 看<span class=examplehanzi>一</span>看; <span class=examplehanzi>一</span>个人; <span class=examplehanzi>一</span>定; <span class=examplehanzi>一</span>样; <span class=examplehanzi>一</span>月; <span class=examplehanzi>一</span>点儿; <span class=examplehanzi>一</span>些
2,是,,1.0,3,shì,,"indeed, yes, right; to be; demonstrative pronoun, this, that",是," [shì] to be, 是不是? shìbushì? is (it) or is (it) not?; 是否 shìfǒu whether or not, is (it) or is (it) not<BR><BR>rank = 3
",是不是; 是否,<span class=examplehanzi>是</span>不<span class=examplehanzi>是</span>; <span class=examplehanzi>是</span>否
3,不,,1.0,4,bù," fǒu, fōu","no, not; un-; negative prefix",不," [bù] not<BR>[bú] (used before tone #4); 不是 bú shì isn'<BR><BR>rank = 4
",不是,<span class=examplehanzi>不</span>是
4,了,瞭   ,1.0,5,le, liǎo,to finish; particle of completed action,了," [le] &LT;verb particle marking a new situation or a completed action&GT;; 你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gotten tired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.<BR>[liǎo] end, finish, settle, dispose of, know clearly, to be able, (=了解 liǎojiě) understand, comprehend; 了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent; 了了 liǎole <colloquial> to be over/ended/finnish/settled; 你卖不了! Nǐ mài bùliǎo! You will not be able to sell (it)!<BR>[liào] (=�t liaò) to survey/watch<BR>{Compare with 子 zǐ child<BR><BR>rank = 5
","你来了, 我累了, 那好了, 我只请了一位客人; 了解; 了了; 了了; 你卖不了","你来<span class=examplehanzi>了</span>, 我累<span class=examplehanzi>了</span>, 那好<span class=examplehanzi>了</span>, 我只请<span class=examplehanzi>了</span>一位客人; <span class=examplehanzi>了</span>解; <span class=examplehanzi>了</span><span class=examplehanzi>了</span>; <span class=examplehanzi>了</span><span class=examplehanzi>了</span>; 你卖不<span class=examplehanzi>了</span>"
5,在,,1.0,6,zài,,"be at, in, on; consist in, rest",在," [zài] at; 现在 xiànzài now; 存在 cúnzài exis<BR><BR>rank = 8
",现在; 存在,现<span class=examplehanzi>在</span>; 存<span class=examplehanzi>在</span>
6,人,,1.0,7,rén,,man; people; mankind; someone else,人," [rén] person; 人类 rénlèi humankind; 有人吗? yǒu rén ma? Is there anybody here?<BR>{Compare with 入 rù enter<BR><BR>rank = 6
",人类; 有人吗,<span class=examplehanzi>人</span>类; 有<span class=examplehanzi>人</span>吗
7,有,,1.0,8,yǒu, yòu,"have, own, possess; exist",有," [yǒu] have, there is; 没有 méiyǒu haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?; 有的 yǒude some<BR>[yòu] (=又 yòu) again, both... and...</T<BR><BR>rank = 9
",没有; 有没有; 有的; 又……,没<span class=examplehanzi>有</span>; <span class=examplehanzi>有</span>没<span class=examplehanzi>有</span>; <span class=examplehanzi>有</span>的; 又……
8,我,,1.0,9,wǒ,,"our, us, i, me, my, we",我," [wǒ] I, me, my; 我们 wǒmen we, us<BR>{Compare with 找 zhǎo seek<BR><BR>rank = 7
",我们,<span class=examplehanzi>我</span>们
9,他,,1.0,10,tā,,"other, another; he, she, it",他," [tā] he, him, his, (she, her, it, its), (=其他 qítā) other<BR>[tuō] (in classical texts) someone else, something els<BR><BR>rank = 10
",其他,其<span class=examplehanzi>他</span>
